495.000,520.000,-0.798,-0.363,1.758,0.076
495.000,520.357,-0.798,-0.318,2.070,0.079
495.000,520.714,-0.759,-0.297,2.226,0.051
495.000,521.071,-0.994,-0.285,1.836,0.039
495.000,521.429,-0.877,-0.273,2.383,0.055
495.000,521.786,-0.759,-0.302,2.695,0.078
495.000,522.143,-1.150,-0.359,1.953,0.063
495.000,522.500,-1.033,-0.344,1.836,0.035
495.000,522.857,-1.345,-0.362,1.875,0.034
495.000,523.214,-0.994,-0.353,2.422,0.060
495.000,523.571,-1.189,-0.323,2.812,0.073
495.000,523.929,-1.775,-0.312,2.266,0.046
495.000,524.286,-1.463,-0.300,2.930,0.022
495.000,524.643,-1.580,-0.321,3.125,0.045
495.000,525.000,-2.048,-0.236,3.359,0.073
495.000,525.357,-2.673,-0.268,2.344,0.066
495.000,525.714,-2.127,-0.249,3.750,0.016
495.000,526.071,-2.517,-0.247,3.789,0.008
495.000,526.429,-2.478,-0.220,4.336,0.028
495.000,526.786,-3.416,-0.209,3.789,0.031
495.000,527.143,-5.095,-0.121,5.859,-0.032
495.000,527.500,-12.400,0.210,11.211,-0.122
495.000,527.857,-17.088,0.365,17.226,-0.130
495.000,528.214,-17.361,0.289,17.656,-0.099
495.000,528.571,-11.736,0.028,15.937,-0.113
495.000,528.929,-5.955,-0.085,11.328,-0.102
495.000,529.286,-3.572,-0.213,7.500,-0.047
495.000,529.643,-2.322,-0.288,5.625,0.004
495.000,530.000,-2.595,-0.301,4.961,0.028
495.500,530.000,-2.595,-0.093,4.062,0.018
495.500,529.630,-2.791,-0.056,3.164,0.010
495.500,529.259,-2.439,-0.064,2.891,-0.008
495.500,528.889,-2.556,-0.105,2.305,0.027
495.500,528.519,-2.556,-0.112,4.101,0.030
495.500,528.148,-2.634,-0.159,2.969,0.052
495.500,527.778,-3.884,-0.177,6.406,-0.026
495.500,527.407,-5.877,0.015,8.281,-0.049
495.500,527.037,-5.955,-0.015,12.148,-0.062
495.500,526.667,-4.978,-0.041,10.586,-0.011
495.500,526.296,-4.822,-0.078,8.242,-0.025
495.500,525.926,-4.822,-0.013,4.922,-0.009
495.500,525.556,-5.330,-0.052,4.414,-0.007
495.500,525.185,-5.330,-0.084,4.336,0.039
495.500,524.815,-7.205,-0.110,4.062,0.028
495.500,524.444,-6.502,-0.022,-0.899,0.070
495.500,524.074,-5.447,-0.100,1.601,0.005
495.500,523.704,-4.002,-0.158,3.086,0.026
495.500,523.333,-3.142,-0.237,1.758,0.075
495.500,522.963,-2.478,-0.352,2.344,0.058
495.500,522.593,-2.009,-0.318,2.461,0.024
495.500,522.222,-1.853,-0.320,2.734,0.038
495.500,521.852,-1.697,-0.339,3.164,0.067
495.500,521.481,-1.931,-0.335,3.047,0.069
495.500,521.111,-1.384,-0.264,2.305,0.039
495.500,520.741,-5.213,-1.448,2.617,0.042
495.500,520.370,-5.525,-1.270,1.758,0.023
495.500,520.000,-3.298,-0.823,-1.289,-0.108
496.000,520.000,-2.166,-0.124,1.914,0.067
496.000,520.370,-1.697,-0.173,2.070,0.056
496.000,520.741,-0.838,-0.222,2.383,0.039
496.000,521.111,-0.877,-0.277,2.617,0.056
496.000,521.481,-1.072,-0.324,2.773,0.072
496.000,521.852,-0.720,-0.294,2.305,0.058
496.000,522.222,-0.486,-0.218,2.226,0.031
496.000,522.593,-0.720,-0.221,2.187,0.030
496.000,522.963,-1.033,-0.257,2.500,0.050
496.000,523.333,-1.189,-0.310,2.773,0.061
496.000,523.704,-0.720,-0.277,2.539,0.032
496.000,524.074,-1.502,-0.203,3.164,0.013
496.000,524.444,-3.728,-0.279,3.476,0.028
496.000,524.815,-3.025,-0.217,4.336,0.030
496.000,525.185,-2.439,-0.208,3.398,0.030
496.000,525.556,-2.088,-0.177,3.398,0.008
496.000,525.926,-1.697,-0.261,3.711,0.003
496.000,526.296,-2.048,-0.255,3.984,0.031
496.000,526.667,-1.775,-0.256,3.789,0.051
496.000,527.037,-1.463,-0.236,2.969,0.019
496.000,527.407,-0.877,-0.204,3.047,0.010
496.000,527.778,-1.345,-0.323,3.242,0.019
496.000,528.148,-1.502,-0.369,3.359,0.030
496.000,528.519,-2.205,-0.390,2.969,0.012
496.000,528.889,-1.619,-0.315,1.875,0.001
496.000,529.259,-1.267,-0.290,2.422,0.006
496.000,529.630,-0.798,-0.290,2.617,0.030
496.000,530.000,-1.384,-0.321,2.891,0.047
496.500,530.000,-1.814,-0.100,3.086,0.013
496.500,529.630,-1.541,-0.181,3.711,0.029
496.500,529.259,-1.228,-0.191,3.164,0.023
496.500,528.889,-0.994,-0.178,2.383,0.004
496.500,528.519,-1.775,-0.133,2.695,0.003
496.500,528.148,-1.619,-0.132,3.008,0.037
